measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0101hrl0212ra,A10 anticlockwise naar Watergraafsmeer op knppnt De Nieuwe Meer ri afrit 8 thv hmp 21.2,52.3386,4.84158,negative,A10,5.11,A,7202,80,P1.2,Knooppunt (triangle),85
RWS01_MONIBAS_0101hrl0214ra,A10 anticlockwise naar De Nieuwe Meer na afrit 7 ri knppnt De Nieuwe Meer thv hmp 21.5,52.3413,4.84093,negative,A10,5.11,A,7204,806,P1.3,Afrit,86
RWS01_MONIBAS_0101hrl0218ra,A10 anticlockwise naar De Nieuwe Meer na afrit 7 ri knppnt De Nieuwe Meer thv hmp 21.8,52.3444,4.84088,negative,A10,5.11,A,7204,475,P1.3,Afrit,87
RWS01_MONIBAS_0101hrl0221ra,A10 anticlockwise naar De Nieuwe Meer na afrit 7 ri knppnt De Nieuwe Meer thv hmp 22.1,52.3469,4.84088,negative,A10,5.11,A,7204,200,P1.3,Afrit,88
GEO02_R_RWSTI4345,A10 naar De Nieuwe Meer na afrit 6 ri afrit 7 thv hmp 22.8,52.3529,4.84231,negative,A10,5.11,A,7205,1000,P1.3,Afrit,89
RWS01_MONIBAS_0101hrl0225ra,A10 anticlockwise naar De Nieuwe Meer na afrit 6 ri afrit 7 thv hmp 22.6,52.3508,4.84225,negative,A10,5.11,A,7205,1250,P1.3,Afrit,90
RWS01_MONIBAS_0101hrl0228ra,A10 anticlockwise naar De Nieuwe Meer na afrit 6 ri afrit 7 thv hmp 22.8,52.3534,4.84249,negative,A10,5.11,A,7205,957,P1.3,Afrit,91
RWS01_MONIBAS_0101hrl0233ra,A10 anticlockwise naar De Nieuwe Meer na afrit 6 ri afrit 7 thv hmp 23.4,52.358,4.84238,negative,A10,5.11,A,7205,450,P1.3,Afrit,92
RWS01_MONIBAS_0101hrl0239ra,A10 anticlockwise naar De Nieuwe Meer na afrit 5 ri afrit 6 thv hmp 23.9,52.3629,4.84221,negative,A10,5.11,A,7206,1300,P1.3,Afrit,93
RWS01_MONIBAS_0101hrl0242ra,A10 anticlockwise naar De Nieuwe Meer na afrit 5 ri afrit 6 thv hmp 24.2,52.3657,4.84213,negative,A10,5.11,A,7206,989,P1.3,Afrit,94
RWS01_MONIBAS_0101hrl0247ra,A10 anticlockwise naar De Nieuwe Meer na afrit 5 ri afrit 6 thv hmp 24.7,52.3704,4.84202,negative,A10,5.11,A,7206,460,P1.3,Afrit,95
RWS01_MONIBAS_0101hrl0253ra,A10 anticlockwise naar De Nieuwe Meer na afrit 3 ri afrit 4 thv hmp 25.4,52.3758,4.84309,negative,A10,5.11,A,7208,1050,P1.3,Afrit,96
RWS01_MONIBAS_0101hrl0257ra,A10 anticlockwise naar De Nieuwe Meer na afrit 3 ri afrit 4 thv hmp 25.8,52.3794,4.84447,negative,A10,5.11,A,7208,647,P1.3,Afrit,97
RWS01_MONIBAS_0101hrl0261ra,A10 anticlockwise naar De Nieuwe Meer na afrit 3 ri afrit 4 thv hmp 26.2,52.3832,4.84455,negative,A10,5.11,A,7208,225,P1.3,Afrit,98
RWS01_MONIBAS_0101hrl0267ra,A10 anticlockwise naar De Nieuwe Meer na afrit 2 ri afrit 3 thv hmp 26.7,52.3881,4.84429,negative,A10,5.11,A,7209,875,P1.3,Afrit,99
RWS01_MONIBAS_0101hrl0271ra,A10 anticlockwise naar De Nieuwe Meer na afrit 2 ri afrit 3 thv hmp 27.2,52.3922,4.84399,negative,A10,5.11,A,7209,415,P1.3,Afrit,100
RWS01_MONIBAS_0101hrl0281ra,A10 anticlockwise naar De Nieuwe Meer na afrit 1 ri knppnt Westrandweg thv hmp 28.1,52.4001,4.84764,negative,A10,5.11,A,7210,885,P1.3,Afrit,101
RWS01_MONIBAS_0101hrl0285ra,A10 anticlockwise naar De Nieuwe Meer na afrit 1 ri knppnt Westrandweg thv hmp 28.5,52.4031,4.85131,negative,A10,5.11,A,7210,475,P1.3,Afrit,102
RWS01_MONIBAS_0101hrl0287ra,A10 anticlockwise naar De Nieuwe Meer na afrit 1 ri knppnt Westrandweg thv hmp 28.7,52.4047,4.85321,negative,A10,5.11,A,7210,255,P1.3,Afrit,103
RWS01_MONICA_10D00A04741918200185,"A10 anticlockwise naar De Nieuwe Meer na afrit 1 ri knppnt Westrandweg thv hmp 28.5, Vluchtstr",52.4032,4.85107,negative,A10,5.11,A,7210,475,P1.3,Afrit,104
RWS01_MONIBAS_0101hrl0290ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 29.0,52.4066,4.85584,negative,A10,5.11,A,7211,1480,P3.1,Tunnel,105
RWS01_MONIBAS_0101hrl0293ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 29.3,52.4089,4.85878,negative,A10,5.11,A,7211,1152,P3.1,Tunnel,106
RWS01_MONIBAS_0101hrl0296ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 29.6,52.4111,4.86105,negative,A10,5.11,A,7211,865,P3.1,Tunnel,107
RWS01_MONIBAS_0101hrl0297ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 29.8,52.4123,4.86224,negative,A10,5.11,A,7211,702,P3.1,Tunnel,108
RWS01_MONIBAS_0101hrl0299ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 29.9,52.4133,4.86317,negative,A10,5.11,A,7211,575,P3.1,Tunnel,109
RWS01_MONIBAS_0101hrl0300ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 30.1,52.4146,4.86437,negative,A10,5.11,A,7211,408,P3.1,Tunnel,110
RWS01_MONIBAS_0101hrl0300rb,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 30.0,52.4139,4.86374,negative,A10,5.11,A,7211,495,P3.1,Tunnel,111
RWS01_MONIBAS_0101hrl0302ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 30.3,52.4158,4.86553,negative,A10,5.11,A,7211,250,P3.1,Tunnel,112
RWS01_MONIBAS_0101hrl0304ra,A10 anticlockwise naar De Nieuwe Meer op knppnt Coenplein ri afrit 1 thv hmp 30.4,52.4171,4.86678,negative,A10,5.11,A,7211,85,P3.1,Tunnel,113
