date,hour,dataType,dateID
2016-06-14,08,Speed,963
2016-06-14,09,Road,964
2016-06-14,09,Flow,965
2016-06-14,09,Speed,966
2016-06-14,10,Road,967
2016-06-14,10,Flow,968
2016-06-14,10,Speed,969
2016-06-14,11,Road,970
2016-06-14,11,Flow,971
2016-06-14,11,Speed,972
2016-06-14,12,Road,973
2016-06-14,12,Flow,974
2016-06-14,12,Speed,975
2016-06-14,13,Road,976
2016-06-14,13,Flow,977
2016-06-14,13,Speed,978
2016-06-14,14,Road,979
2016-06-14,14,Flow,980
2016-06-14,14,Speed,981
2016-06-14,15,Road,982
2016-06-14,15,Flow,983
2016-06-14,15,Speed,984
2016-06-14,16,Road,985
2016-06-14,16,Flow,986
2016-06-14,16,Speed,987
2016-06-14,17,Road,988
2016-06-14,17,Flow,989
2016-06-14,17,Speed,990
2016-06-14,18,Road,991
2016-06-14,18,Flow,992
2016-06-14,18,Speed,993
2016-06-14,19,Road,994
2016-06-14,19,Flow,995
2016-06-14,19,Speed,996
2016-06-14,20,Road,997
2016-06-14,20,Flow,998
2016-06-14,20,Speed,999
2016-06-14,21,Road,1000
2016-06-14,21,Flow,1001
2016-06-14,21,Speed,1002
2016-06-14,22,Road,1003
2016-06-14,22,Flow,1004
2016-06-14,22,Speed,1005
2016-06-14,23,Road,1006
2016-06-14,23,Flow,1007
2016-06-14,23,Speed,1008
2016-06-15,00,Road,1009
2016-06-15,00,Flow,1010
2016-06-15,00,Speed,1011
2016-06-15,01,Road,1012
2016-06-15,01,Flow,1013
2016-06-15,01,Speed,1014
2016-06-15,02,Road,1015
2016-06-15,02,Flow,1016
2016-06-15,02,Speed,1017
2016-06-15,03,Road,1018
2016-06-15,03,Flow,1019
2016-06-15,03,Speed,1020
2016-06-15,04,Road,1021
2016-06-15,04,Flow,1022
2016-06-15,04,Speed,1023
2016-06-15,05,Road,1024
2016-06-15,05,Flow,1025
2016-06-15,05,Speed,1026
2016-06-15,06,Road,1027
2016-06-15,06,Flow,1028
2016-06-15,06,Speed,1029
2016-06-15,07,Road,1030
2016-06-15,07,Flow,1031
2016-06-15,07,Speed,1032
2016-06-15,08,Road,1033
2016-06-15,08,Flow,1034
2016-06-15,08,Speed,1035
2016-06-15,09,Road,1036
2016-06-15,09,Flow,1037
2016-06-15,09,Speed,1038
2016-06-15,10,Road,1039
2016-06-15,10,Flow,1040
2016-06-15,10,Speed,1041
2016-06-15,11,Road,1042
2016-06-15,11,Flow,1043
2016-06-15,11,Speed,1044
2016-06-15,12,Road,1045
2016-06-15,12,Flow,1046
2016-06-15,12,Speed,1047
2016-06-15,13,Road,1048
2016-06-15,13,Flow,1049
2016-06-15,13,Speed,1050
2016-06-15,14,Road,1051
2016-06-15,14,Flow,1052
2016-06-15,14,Speed,1053
2016-06-15,15,Road,1054
2016-06-15,15,Flow,1055
2016-06-15,15,Speed,1056
2016-06-15,16,Road,1057
2016-06-15,16,Flow,1058
2016-06-15,16,Speed,1059
2016-06-15,17,Road,1060
2016-06-15,17,Flow,1061
2016-06-15,17,Speed,1062
2016-06-15,18,Road,1063
2016-06-15,18,Flow,1064
2016-06-15,18,Speed,1065
2016-06-15,19,Road,1066
2016-06-15,19,Flow,1067
2016-06-15,19,Speed,1068
2016-06-15,20,Road,1069
2016-06-15,20,Flow,1070
2016-06-15,20,Speed,1071
2016-06-15,21,Road,1072
2016-06-15,21,Flow,1073
2016-06-15,21,Speed,1074
2016-06-15,22,Road,1075
2016-06-15,22,Flow,1076
2016-06-15,22,Speed,1077
2016-06-15,23,Road,1078
2016-06-15,23,Flow,1079
2016-06-15,23,Speed,1080
2016-06-16,00,Road,1081
2016-06-16,00,Flow,1082
2016-06-16,00,Speed,1083
2016-06-16,01,Road,1084
2016-06-16,01,Flow,1085
2016-06-16,01,Speed,1086
2016-06-16,02,Road,1087
2016-06-16,02,Flow,1088
2016-06-16,02,Speed,1089
2016-06-16,03,Road,1090
2016-06-16,03,Flow,1091
2016-06-16,03,Speed,1092
2016-06-16,04,Road,1093
2016-06-16,04,Flow,1094
2016-06-16,04,Speed,1095
2016-06-16,05,Road,1096
2016-06-16,05,Flow,1097
2016-06-16,05,Speed,1098
2016-06-16,06,Road,1099
2016-06-16,06,Flow,1100
2016-06-16,06,Speed,1101
2016-06-16,07,Road,1102
2016-06-16,07,Flow,1103
2016-06-16,07,Speed,1104
2016-06-16,08,Road,1105
2016-06-16,08,Flow,1106
2016-06-16,08,Speed,1107
2016-06-16,09,Road,1108
2016-06-16,09,Flow,1109
2016-06-16,09,Speed,1110
2016-06-16,10,Road,1111
2016-06-16,10,Flow,1112
2016-06-16,10,Speed,1113
2016-06-16,11,Road,1114
2016-06-16,11,Flow,1115
2016-06-16,11,Speed,1116
2016-06-16,12,Road,1117
2016-06-16,12,Flow,1118
2016-06-16,12,Speed,1119
2016-06-16,13,Road,1120
2016-06-16,13,Flow,1121
2016-06-16,13,Speed,1122
2016-06-16,14,Road,1123
2016-06-16,14,Flow,1124
2016-06-16,14,Speed,1125
2016-06-16,15,Road,1126
2016-06-16,15,Flow,1127
2016-06-16,15,Speed,1128
2016-06-16,16,Road,1129
2016-06-16,16,Flow,1130
2016-06-16,16,Speed,1131
2016-06-16,17,Road,1132
2016-06-16,17,Flow,1133
2016-06-16,17,Speed,1134
2016-06-16,18,Road,1135
2016-06-16,18,Flow,1136
2016-06-16,18,Speed,1137
2016-06-16,19,Road,1138
2016-06-16,19,Flow,1139
2016-06-16,19,Speed,1140
2016-06-16,20,Road,1141
2016-06-16,20,Flow,1142
2016-06-16,20,Speed,1143
2016-06-16,21,Road,1144
2016-06-16,21,Flow,1145
2016-06-16,21,Speed,1146
2016-06-16,22,Road,1147
2016-06-16,22,Flow,1148
2016-06-16,22,Speed,1149
2016-06-16,23,Road,1150
2016-06-16,23,Flow,1151
2016-06-16,23,Speed,1152
2016-06-17,00,Road,1153
2016-06-17,00,Flow,1154
2016-06-17,00,Speed,1155
2016-06-17,01,Road,1156
2016-06-17,01,Flow,1157
2016-06-17,01,Speed,1158
2016-06-17,02,Road,1159
2016-06-17,02,Flow,1160
2016-06-17,02,Speed,1161
2016-06-17,03,Road,1162
2016-06-17,03,Flow,1163
2016-06-17,03,Speed,1164
2016-06-17,04,Road,1165
2016-06-17,04,Flow,1166
2016-06-17,04,Speed,1167
2016-06-17,05,Road,1168
2016-06-17,05,Flow,1169
2016-06-17,05,Speed,1170
2016-06-17,06,Road,1171
2016-06-17,06,Flow,1172
2016-06-17,06,Speed,1173
2016-06-17,07,Road,1174
2016-06-17,07,Flow,1175
2016-06-17,07,Speed,1176
2016-06-17,08,Road,1177
2016-06-17,08,Flow,1178
2016-06-17,08,Speed,1179
2016-06-17,09,Road,1180
2016-06-17,09,Flow,1181
2016-06-17,09,Speed,1182
2016-06-17,10,Road,1183
2016-06-17,10,Flow,1184
2016-06-17,10,Speed,1185
2016-06-17,11,Road,1186
2016-06-17,11,Flow,1187
2016-06-17,11,Speed,1188
2016-06-17,12,Road,1189
2016-06-17,12,Flow,1190
